,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
1091,2010-01-13,2020-12-10,3984 days,390,1,34.87179487179487,-0.536461538461538,-1.4449999999999998,4.102573529411766,2.535,-3.0443253968253994,-2.65,-209.21999999999997,WMT
371,2010-01-06,2020-11-04,3955 days,390,1,30.76923076923077,-0.5390256410256417,-2.8,9.669333333333332,7.1899999999999995,-5.0760740740740715,-4.525,-210.22000000000003,FCF
899,2010-01-21,2020-10-28,3933 days,323,1,36.84210526315789,-0.6512074303405572,-2.66,8.967478991596641,6.24,-6.292955665024635,-5.25,-210.33999999999995,SEM
45,2010-01-05,2020-10-02,3923 days,382,1,34.29319371727749,-0.5526439790575904,-2.325,8.526793893129769,5.17,-5.291314741035857,-4.6,-211.11000000000004,ALEX
850,2010-01-12,2020-11-05,3950 days,333,1,32.732732732732735,-0.6366666666666679,-3.88,13.386422018348618,7.94,-7.493856502242149,-6.59,-212.0099999999999,REV
313,2010-01-13,2020-12-03,3977 days,382,1,35.602094240837694,-0.5555759162303664,-1.6749999999999998,6.165294117647057,4.95,-4.271178861788617,-3.45,-212.23000000000005,DVA
473,2010-01-08,2020-11-03,3952 days,415,1,31.807228915662648,-0.5139036144578316,-1.99,5.874242424242424,3.84,-3.4935335689045925,-3.0,-213.26999999999998,HON
714,2010-01-22,2020-11-24,3959 days,386,1,36.52849740932643,-0.556658031088083,-1.59,4.910921985815605,3.48,-3.7184836065573768,-3.51,-214.86999999999998,NKE
356,2010-01-05,2020-11-19,3971 days,390,1,33.84615384615385,-0.5522820512820512,-1.645,5.14159090909091,2.885,-3.4654263565891488,-3.205,-215.39,EXC
549,2010-01-07,2020-10-08,3927 days,371,1,31.805929919137466,-0.5805660377358491,-2.96,10.204491525423732,5.035,-5.633015873015875,-4.5600000000000005,-215.39000000000001,JWN
904,2010-01-05,2020-11-03,3955 days,414,1,38.88888888888889,-0.5211835748792266,-3.8600000000000003,13.85633540372671,8.78,-9.708888888888891,-8.51,-215.7700000000001,SGMS
