Model,Split,Identifier,Accuracy Train,Precision Train,Specificity Train,Recall Train,Accuracy Test,Precision Test,Specificity Test,Recall Test,Loss Train,Loss Test
RFC,10_10_80,test2bollinger,,,,,0.9773466726,0.9669213989,0.9647060546,0.9894701373,,
NN,34_33_33,test1turtles,0.9389516711,0.9022065401,0.8800032735,0.973403275,0.9382861257,0.9033666253,0.8614782691,0.9781253338,0.1562466472,0.1572345942
Naive,34_33_33,test1turtles,,,,,0.8771935014,0.80593317,0.7493751585,1,,
Naive Bayes,34_33_33,test1turtles,,,,,0.6291725338,0.6493466916,0.6665700728,0.5932413777,,
Log Reg,34_33_33,test1turtles,,,,,0.9293819739,0.8951821462,0.8810808853,0.975789144,,
KNN,34_33_33,test1turtles,,,,,0.8595389949,0.7979677512,0.7443281293,0.9702323639,,
RFC,34_33_33,test1turtles,,,,,0.9451905669,0.9165917631,0.9070042622,0.9818795606,,
NN,80_10_10,test1turtles,0.9225025773,0.9070608616,0.8904855251,0.9273504615,0.9228739738,0.9071214795,0.8775255084,0.9352372885,0.1909449548,0.1915852278
Naive,80_10_10,test1turtles,,,,,0.8358734366,0.7570436412,0.6640793393,1,,
Naive Bayes,80_10_10,test1turtles,,,,,0.6101986724,0.630589192,0.6479499164,0.5741323461,,
Log Reg,80_10_10,test1turtles,,,,,0.9102957012,0.8727850882,0.8527281974,0.9652938454,,
KNN,80_10_10,test1turtles,,,,,0.8321816095,0.7739154223,0.7097793708,0.9491207774,,
RFC,80_10_10,test1turtles,,,,,0.9273704015,0.8940450131,0.8792594028,0.9733341046,,
NN,10_80_10,test1turtles,0.9404056072,0.9071724415,0.8848852515,0.9682741761,0.9400492311,0.9076725841,0.8688555956,0.9683471322,0.1511735469,0.1543751657
Naive,10_80_10,test1turtles,,,,,0.8825419176,0.8110767474,0.7630624179,1,,
Naive Bayes,10_80_10,test1turtles,,,,,0.6441409994,0.6593484779,0.6800095477,0.6088792942,,
Log Reg,10_80_10,test1turtles,,,,,0.9339375939,0.9007987186,0.8906074711,0.9765346349,,
KNN,10_80_10,test1turtles,,,,,0.8680349304,0.8076242435,0.7651748419,0.9691547775,,
RFC,10_80_10,test1turtles,,,,,0.9482020092,0.9185337609,0.9111707841,0.9846067205,,
NN,10_10_80,test1turtles,0.9554746747,0.9263578057,0.9088519812,0.9786764979,0.9564613104,0.9292755723,0.8890662193,0.9810627103,0.1191717014,0.1175611466
Naive,10_10_80,test1turtles,,,,,0.9157506123,0.8581955786,0.828106516,1,,
Naive Bayes,10_10_80,test1turtles,,,,,0.6518027239,0.6766656754,0.6981362111,0.6072638663,,
Log Reg,10_10_80,test1turtles,,,,,0.9499650933,0.9236370772,0.9154414427,0.9831515433,,
KNN,10_10_80,test1turtles,,,,,0.8955579747,0.8409948149,0.8071388909,0.9805523323,,
RFC,10_10_80,test1turtles,,,,,0.9622593509,0.9416165842,0.9363245697,0.9871896032,,
NN,34_33_33,test1box,0.8945742249,0.8654739261,0.8328722119,0.9250425696,0.8742488027,0.8456686139,0.8198509216,0.9111414552,0.2572229803,0.2831484973
Naive,34_33_33,test1box,,,,,0.8009978456,0.7151465798,0.6044776119,0.9986354332,,
Naive Bayes,34_33_33,test1box,,,,,0.8430661073,0.7651821862,0.6983265491,0.9886286104,,
Log Reg,34_33_33,test1box,,,,,0.8843406282,0.8400805639,0.8204432384,0.9486013191,,
KNN,34_33_33,test1box,,,,,0.7980496655,0.7505747126,0.7055630936,0.8910620878,,
RFC,34_33_33,test1box,,,,,0.9029368409,0.8649762935,0.8518769787,0.9542870139,,
NN,80_10_10,test1box,0.8734833598,0.8536004424,0.824215591,0.8860660791,0.8554257751,0.8445798755,0.8265577555,0.8666316867,0.2894802392,0.3209064603
Naive,80_10_10,test1box,,,,,0.7641455947,0.6813642649,0.5262677021,0.9986489529,,
Naive Bayes,80_10_10,test1box,,,,,0.8242431115,0.7452078032,0.6569209685,0.9891916235,,
Log Reg,80_10_10,test1box,,,,,0.8639301508,0.8196883014,0.7912288716,0.9356000901,,
KNN,80_10_10,test1box,,,,,0.7682276902,0.7271176805,0.6710826862,0.8639945958,,
RFC,80_10_10,test1box,,,,,0.8868352421,0.8477075338,0.8277752398,0.9450574195,,
NN,10_80_10,test1box,0.89363873,0.8770272732,0.8492340446,0.9051566124,0.8825263381,0.8681967258,0.849716723,0.8955695629,0.2542691529,0.2727504075
Naive,10_80_10,test1box,,,,,0.798163057,0.7126194719,0.5980969642,0.9986379115,,
Naive Bayes,10_80_10,test1box,,,,,0.8474883774,0.7706048815,0.7061622111,0.9891032917,,
Log Reg,10_80_10,test1box,,,,,0.8888762898,0.8464495246,0.8280471228,0.9498297389,,
KNN,10_80_10,test1box,,,,,0.8083682957,0.7666470242,0.7308563661,0.8860385925,,
RFC,10_80_10,test1box,,,,,0.9099671165,0.8746627931,0.8631626643,0.9568671964,,
NN,10_10_80,test1box,0.8788978457,0.9163835645,0.9066272378,0.8188214898,0.8646104932,0.9082040787,0.9063633084,0.8110607266,0.2858761549,0.3088121712
Naive,10_10_80,test1box,,,,,0.8158521374,0.7334431631,0.6289841779,0.998654105,,
Naive Bayes,10_10_80,test1box,,,,,0.8637033677,0.7919655667,0.7340059619,0.9905787349,,
Log Reg,10_10_80,test1box,,,,,0.9041841479,0.8662071762,0.8486585645,0.9585015702,,
KNN,10_10_80,test1box,,,,,0.8252636353,0.788869083,0.7555606512,0.8934499776,,
RFC,10_10_80,test1box,,,,,0.918471482,0.885543411,0.8727356111,0.9632122028,,
