,date,TICKER,PRC,RET,OPENPRC,NaN_Replaced,Open,High,Low,Close,Rolling_Max_10,Rolling_Min_10,Rolling_Max_20,Rolling_Min_20,Rolling_Max_55,Rolling_Min_55
0,20030102,AAPL,0.264285714285714,0.032798,0.256428571428571,0,0.256428571428571,0.2696988304,0.256428571428571,0.264285714285714,,,,,,
1,20030103,AAPL,0.266071428571429,0.006757,0.264285714285714,0,0.264285714285714,0.266071428571429,0.2565628122,0.266071428571429,,,,,,
2,20030106,AAPL,0.266071428571429,0.0,0.268392857142857,0,0.268392857142857,0.2757114233,0.266071428571429,0.266071428571429,,,,,,
3,20030107,AAPL,0.265178571428571,-0.003356,0.264107142857143,0,0.264107142857143,0.265178571428571,0.2559199336,0.265178571428571,,,,,,
4,20030108,AAPL,0.259821428571429,-0.020202,0.260357142857143,0,0.260357142857143,0.2614227122,0.2574570257,0.259821428571429,,,,,,
5,20030109,AAPL,0.262142857142857,0.008935,0.261071428571429,0,0.261071428571429,0.2647836701,0.2583549579,0.262142857142857,,,,,,
6,20030110,AAPL,0.262857142857143,0.002725,0.260357142857143,0,0.260357142857143,0.2638038165,0.2587487085,0.262857142857143,,,,,,
7,20030113,AAPL,0.26125,-0.006114,0.266071428571429,0,0.266071428571429,0.2670755826,0.2605255589,0.26125,,,,,,
8,20030114,AAPL,0.260892857142857,-0.001367,0.262321428571429,0,0.262321428571429,0.262321428571429,0.2565837508,0.260892857142857,,,,,,
9,20030115,AAPL,0.257678571428571,-0.01232,0.260535714285714,0,0.260535714285714,0.2609774479,0.254994637,0.257678571428571,,,,,,
10,20030116,AAPL,0.261071428571429,0.013167,0.25375,0,0.25375,0.261071428571429,0.2510533723,0.261071428571429,0.2757114233,0.254994637,,,,
11,20030117,AAPL,0.251785714285714,-0.035568,0.26,0,0.26,0.26,0.251704598,0.251785714285714,0.2757114233,0.2510533723,,,,
12,20030121,AAPL,0.250357142857143,-0.005674,0.25375,0,0.25375,0.25375,0.2466062844,0.250357142857143,0.2757114233,0.2510533723,,,,
13,20030122,AAPL,0.247857142857143,-0.009986,0.249642857142857,0,0.249642857142857,0.252668446,0.247857142857143,0.247857142857143,0.2670755826,0.2466062844,,,,
14,20030123,AAPL,0.253035714285714,0.020893,0.250892857142857,0,0.250892857142857,0.2551341538,0.2489292392,0.253035714285714,0.2670755826,0.2466062844,,,,
15,20030124,AAPL,0.246428571428571,-0.026111,0.254285714285714,0,0.254285714285714,0.254285714285714,0.2381713276,0.246428571428571,0.2670755826,0.2466062844,,,,
16,20030127,AAPL,0.252321428571429,0.023913,0.244285714285714,0,0.244285714285714,0.2541019345,0.2412037663,0.252321428571429,0.2670755826,0.2381713276,,,,
17,20030128,AAPL,0.260357142857143,0.031847,0.254285714285714,0,0.254285714285714,0.260357142857143,0.2498191062,0.260357142857143,0.2670755826,0.2381713276,,,,
18,20030129,AAPL,0.266607142857143,0.024006,0.259821428571429,0,0.259821428571429,0.2684934458,0.2560405189,0.266607142857143,0.262321428571429,0.2381713276,,,,
19,20030130,AAPL,0.255714285714286,-0.040857,0.2675,0,0.2675,0.2694587369,0.255714285714286,0.255714285714286,0.2684934458,0.2381713276,,,,
20,20030131,AAPL,0.256428571428571,0.002793,0.253392857142857,0,0.253392857142857,0.256428571428571,0.2494136927,0.256428571428571,0.2694587369,0.2381713276,0.2757114233,0.2381713276,,
21,20030203,AAPL,0.261785714285714,0.020891,0.257321428571429,0,0.257321428571429,0.2687588771,0.257321428571429,0.261785714285714,0.2694587369,0.2381713276,0.2757114233,0.2381713276,,
22,20030204,AAPL,0.260714285714286,-0.004093,0.258035714285714,0,0.258035714285714,0.2626206744,0.258035714285714,0.260714285714286,0.2694587369,0.2381713276,0.2757114233,0.2381713276,,
